,text
1292,dextransucrase ec activity from cellfree culture supernatant of leuconostoc mesenteroides nrrl b was purified by nhso fractionation adsorption on hydroxyapatite chromatography on deaecellulose and gel filtration on sephadex g the extracellular enzyme was separated into two principal forms enzymes i and n and the latter was shown to be an aggregated form of the protomer EI enzymes i and n were both electrophoretically homogeneous and their relative activities reached and times that of the culture supernatant respectively on sodium dodecylsulfate sdspolyacrylamide gel electrophoresis enzyme n dissociated into the protomer EI with a molecular weight of enzyme i was gradually converted into enzyme n upon aging and this conversion was stimulated in the presence of nacl the optimum ph and temperature of enzyme i activity were ph and degrees respectively while those of enzyme n were ph and degrees the km values of enzymes i and n were and mm respectively ca mg fe and co stimulated the activity of enzyme n and edta showed a potent inhibitory effect on this enzyme moreover the activity of enzyme n was more effectively stimulated by exogenous dextrans as compared with EI
1293,mosquitoes eggs larvae and adults small woodland animals and residents of an area where CE is endemic were studied to elucidate the hostvector cycle of LAC virus elementary schoolchildren from surrounding communities and gray squirrels from another area were tested to compare the prevelence of SS antibodies to la crosse virus in Az where the disease is endemic with the prevalence of these antibodies in areas where the disease is not endemic from to eight isolations of LAC virus were made three of the isolates were from adult mosquitoes one from aedes triseriatus eggs and four from a triseriatus larvae the isolation of virus from fieldcollected eggs and larvae confirms previous studies from wisconsin that suggest that la crosse virus overwinters in eggs of the mosquite a triseriatus in an area where california encephalitis is endemic of small woodland animals which are the natural hosts of a triseriatus had hemagglutinationinhibiting and neutralizing antibodies to LAC virus in contrast none of squirrels from an area where the disease is not endemic had such antibodies fourteen of residents of this area had both types of antibody eleven of the SP residents lived in one small sector of the community studied an indication that foci of la crosse virus activity may be very localized elementary schoolchildren from surrounding communitites had a significantly lower prevalence of hemagglutinationinhibiting antibody to la crosse virus than did the residents of the area where california encephalitis was endemic
1294,specific betaadrenergic receptors present in membrane S9 of frog erythrocytes were identified by IB of hdihydroalprenolol a potent competitive betaadrenergic antagonist the hdihydroalprenolol binding sites could be solubilized by treatment of a purified erythrocyte membrane fraction with the plant glycoside digitonin but not by treatment with a wide variety of other detergents the binding sites appeared to be soluble by several independent experimental criteria including a failure to sediment of x g for hours b passage through mu millipore filters c chromatography on sepharose b gels and d electron microscopy the soluble receptor sites retained all of the essential characteristics of the MB sites namely rapid and reversible binding of betaadrenergic agonists and antagonists strict stereospecificity toward both betaadrenergic agonists and antagonists appropriate structureactivity relationships saturability of the sites at low concentrations of ligand no affinity for alphaadrenergic drugs nonphysiologically active catechol EDC and catecholamine metabolites based on gel chromatography in the presence of detergent the molecular weight of the soluble receptor is estimated to be no greater than to equilibrium IB studies indicated a kd for the soluble receptor of nm hill coefficients nh of and curved scatchard plots suggested the presence of negatively cooperative interactions among the solubilized receptors in agreement with previous findings with the MB sites kinetic studies indicated an association rate constant k x m min and a reverse rate constant k x min at degrees the kinetically derived kd kk of nm is in reasonable PA with that determined by equilibrium studies the soluble receptors were labile at temperature greater than degrees but could be stabilized with high concentrations of edta guanidine hydrochloride and urea produced concentrationdependent losses of IB activity which were partially reversible upon dialysis TR and phospholipase a both degraded the soluble receptors but a variety of other proteases and phospholipases as well as dnase and rnase were without effect experiments with groupspecific reagents indicated that free lysine tryptophan serine and sulfhydryl CG may be important for receptor binding these studies suggest that the receptor is probably a protein which requires lipids for PET integrity data obtained with the solubilized IB sites are consistent with the contention that these sites represent the physiologically relevant betaadrenergic receptors which have been extracted from the membranes with full retention of their properties
1295,manganese and copper were released from spinach chloroplasts by nacntreatment though iron was not affected the hill reaction activity was also inhibited by this treatment but was partially recovered by the addition of either mn or cu but not of fe the interaction of mn with manganesedepleted chloroplasts by nacntreatment was studied using mn a scatchard plot shows the high and low affinity IB CS of mn on nacntreated cp membrane high affinity binding being specific for nacntreated cp with a binding constant kh of x m and a maximum binding number nh of gatom per mole of chlorophyll the low binding site was also found on UT chloroplasts its binding constant kl being x m and its Bmax number nl of gatom per mole oc chlorophyll at ph nh was proportional to the degree of the removal of mn by nacntreatment and was constant at ph nl markedly increased at a high ph with a midpoint of ph indicating the exposure of a new similar IB site light illumination partially inhibited the binding of mn within min in the dark the binding reaction reached equilibrium in the absence of pyrophosphate however min were required to transform into pyrophosphateresistant form the ph dependence of the binding of mn with pka and the ineffectiveness of pchloromercuribenzoate suggest the possible ligand of mn is the imidazole nitrogen of the histidine residue
1296,glutamate dehydrogenase from candida utilis undergoes a reversible conformational transition between an AS and an inactive state at low ph and low temperature this conformational transition can also be followed by fluorescence measurements the temperaturedependent equilibrium between the AS and the inactive state is characterized by a transition temperature of degrees c and a delta h value of kcalmol kjmol the temperature dependence of the enzymic activity above degrees c yields an activation energy of kcalmol kjmol a larger value than that for the beef liver enzyme kcalmol kjmol in contrast to the yeast enzyme the arrhenius plot is linear and therefore the beef CL enzyme is not transformed into an inactive conformation at low temperatures sedimentation analysis shows that the inactivation of the candida utilis enzyme is not caused by change in the quaternary structure the ph dependence of the conformational transition at low ph measured by fluorescence change is characterized by a pk value of for the enzyme in the absence and of for the enzyme in the presence of oxoglutarate with a hill coefficient of in both cases similar results are found when the ph dependence of the enzymic activity is analyzed with the beef CL enzyme the same pk value is obtained but with a hill coefficient of indicating cooperativity only in the case of the candida utilis enzyme the best fit of the ph dependence of the rate constants of the fluorescence changes was obtained with pk values of and for the active and the inactive state respectively in this MM the lowest time constant which is obtained at the ph of the equilibrium was found to be s preincubation experiments with the ATP oxoglutarate but not with the coenzyme shift the equilibrium to the active conformation the coenzyme obviously reduces the rate constant of the conformational transition the sedimentation coefficient so w and the molecular weight were found to be s and respectively the enzyme molecule is built up by six polypeptide chains each having a molecular weight of
1297,ornithine carbamoyltransferase from escherichia coli w was purified to homogeneity the enzyme has a molecular weight of it is composed of three apparently identical subunits with molecular weights of the mechanism of the ornithine carbamoyltransferase enzyme system from e coli w was investigated kinetically by using the approach of product inhibition and deadend inhibition of both forward and reverse reactions on the basis of the kinetic data and binding studies it appears that the mechanism of the reaction involves a compulsory sequence of ATP binding to the enzyme in which carbamoylphosphate is the first substrate to bind to the enzyme and phosphate the last product to be released the same studies also indicate that the mechanism involves deadend complexes the reaction mechanism appears consistent with that proposed by theorell and chance values have been determined for the michaelis and dissociation constants involved in the combination of each reactant with the enzyme comparison of the values for the kinetic constants which are common to both forward and reverse reaction have shown that they are always of a comparable magnitude
1298,plasma carcinoembryonic antigen cea and serum enzyme levels of PHI phi gammaglutamyl transpeptidase psigtp and lactate dehydrogenase ldh were measured in patients with malignancy levels were higher in patients particularly with gi breast and lung cancers than in normals or in patients with CA in clinical remission elevations of cea and of all three enzymes in blood were most frequent in patients with hepatic metastases cea elevations correlated directly with phi levels seventyeight percent of patients with M1 gi cancer could be identified by cea greater than ngml alone as well as with breast cancer and with lung cancer but only of other cancers could be identified by cea alone cea or one or more enzymes was elevated in of metastatic breast cancer patients of lung cancer and of other cancers but enzyme measurement did not increase ID of gi CA over that achieved by cea alone these findings suggest that circulating C2 of cea phi psigtp and ldh may reflect a direct contribution from the malignant tissue andor liver malfunction secondary to liver replacement
1299,a technique has been developed to separate and measure kallikrein in a heterogeneous population of rat renal cortical cells in suspension T3 rat kidneys were perfused in situ in anaesthetized rats viable counted cortical cell suspensions were obtained cells were suspended in a sucrosetris buffer containing deoxycholate homogenized centrifuged dialyzed and gel filtered on sephadex g column chromatography on deaecellulose resulted in a single peak of esterase activity between to m naclsodium phosphate buffer subsequent elution yielded an alkaline esterase which was identical to kallikrein isolated from rat urine insofar as ph optimum effects of inhibitors bioassay activity and immunological properties were concerned calculated yields were about of the total esterase activity present in the parent cell homogenates recoveries of a purified rat urinary kallikrein added to the cell homogenates the deaecellulose columns or the eluates from the columns ranged from mean using this technique it was found that the amount of kallikrein activity present in nonincubated renal cortical cells ranged from to alphantosyllarginine methyl ester tosargome esterase units per cells however cells incubated in a nutrient medium at degrees c for h contained no measurable kallikrein activity whereas the surrounding medium had kallikrein activity which could be significantly increased by aldosterone and decreased by spironolactone
1300,a series of headinjured patients in coma were treated with hyperbaric oxygen ohp at atm CBF blood flow cbf cerebral metabolic rates of oxygen cmro glucose cmrgl and lactate cmrl act and various cerebrospinal fluid csf parameters were measured before and h after the treatment preohp and postohp average values of arterial blood and csf lactate and cmrl act were higher than normal while cbf cmro and csf PtiO2 po were lower cbf tended to increase T3 ohp in some patients and to decrease in others this discrepancy and the conflicting results of the literature can be tentatively explained in assuming that there is a different effect of ohp on normal brain circulation as compared to impaired brain circulation changes of cerebral metabolic rates were inconsistent and did not relate to changes of cbf except with repeated studies of the same patient a correlation was found between the variations of cmrgl and those of arterial blood and csf glucose content csf po csf acidbase balance and csf lactate content did not vary and arterial po showed a consistent fall in two patients who were neurologically improved T3 ohp exposure the cbf and metabolic changes were not the same
1301,seven strains of viridans streptococci of the species streptococcus sanguis s mutans and s mitis were investigated for autolysis the effect of ph salt concentration and temperature on the autolytic process was studied in nahponahpo buffer whole cells and walls of all strains autolysed most rapidly at ph values above autolysis of whole cells of s sanguis and one strain of s mitis atcc was maximal in to m buffer while the two s mutans strains and s mitis atcc showed maximal autolysis in and m buffers cultures harvested in the stationary phase of growth possessed only slightly decreased autolytic activity compared with those from the exponential phase whole cells autolysed more rapidly at degrees c than at degrees c and degrees c autolysis of isolated walls of three strains of s mitis atcc atcc and atcc was maximal at ph and and in m buffers streptococcus mitis atcc also showed maximal lysis in m and m buffers an endopeptidase action of the autolytic system of s mitis atcc was indicated by the progressive PR of soluble amino groups during autolysis of the walls no release of reducing groups was observed several free amino acids were released during autolysis of these walls alanine lysine and glu being in greatest quanitity
1302,it was shown by gel electrophoresis in sodium dodecylsulphate solution that MCC from achromobacter ivs is composed of two different subunits with molecular weights of about and respectively the biotin is bound to the heavier S1 it was previously found that methylcrotonylcoa carboxylase contains four biotin molecules per complex a complex composed of four of each S1 would thus have a molecular weight of about this is compatible with the molecular weight of determined earlier by analytical ultracentrifugation both subunits were isolated preparatively as the subunits unlike the complex are very sensitive to oxygen special precautions had to be taken during isolation the biotincontaining subunit was isolated by chromatography on deaecellulose in m urea it no longer catalyzed the overall reaction yet could still carboxylate free biotin the biotinfree subunit was separated after dissociation of the enzyme by threedays dialysis at ph under nitrogen on chromatography over a sepharosebound avidin column the biotinsubunit was fixed and the biotinfree subunit was eluted unretarded the latter subunit showed no enzymic activity after the addition of the biotincontaining subunit overall activity was regenerated the speed of reassociation is very much enhanced by methylcrotonylcoa it was shown by reassociation experiments under different conditions that probably an initial complex axby is formed possessing a IB site for methylcrotonylcoa upon the binding of this ATP the conformation may be changed to a form favourable for reconstitution finally the structures of biotin enzymes from different sources are compared in the course of evolution there is a tendency toward integration of the different constituent proteins into only one polypeptide chain
1303,the abnormal accumulation of lipids due to myoinositol deficiency in saccharomyces carlsbergensis and the mechanism involved was investigated the deficient cells contained much more neutral lipids with a greater ratio of unsaturated fatty acids compared to the supplemented cells whereas there was no significant change in their phospholipid contents the biosynthesis of fatty acids and sterols from acetate and of triacylglycerols and sterol esters from palmitate was markedly augmented in the deficient cells acetylcoa carboxylase activity of the deficient supernatant was to fold higher than that of the supplemented however the activity from both sources was not significantly different after sephadex g GF of the supernatant suggesting the presence of low molecular effectors in the deficient supernatant there was a great increase in acidsoluble glycogen trehalose and fructosep as well as a drastic decrease in citrate in the deficient cells their intracellular levels were calculated so that their effects on acetylcoa carboxylase was examined over the range of physiological concentration citrate strongly inhibited the enzyme activity of the supernatant but it had no effect on the preparation after gel filtration on the other hand fructosep stimulated the enzyme activity both before and T3 gel filtration the acetylcoa carboxylase activity in the gel filtrate was measured as a CF of citrate concentration at several fixed concentrations of fructosep citrate counteracted the activation by fructosep in a dosedependent manner citrate lacked the inhibitory effect in the absence of fructosep it was concluded from these results that neutral lipid accumulation in the deficient cells reflected an increase in the synthesis of fatty acids at least partly based on an enhancement of acetylcoa carboxylase activity and that the operation of a reciprocal regulation of the enzyme by fructosep and citrate caused a marked elevation of the enzyme activity in the deficient cells with a high fructosep level and a low citrate level
1304,exobetanacetylmuramidase or betaacetamidoodcarboxyethyldeoxydglucoside acetamidodeoxyglucohydrolase is produced by Bs b growing in a succinatepeptonesalts medium at the end of exponential growth and occurs partly in the medium and partly bound to the cells a lysozyme digest of micrococcus lysodeikticus cell walls oacetamidodeoxybetadglucopyranosyl leads to acetamidoodcarboxyethyldeoxydglucose and oacetamideodcarboxyethyldeoxybetadglucopyranosyl leads to acetamidodeoxydglucose in decreasing order of efficiency induce the enzyme but oacetamidodeoxybetadglucopyranosyl leads to acetamidodeoxydglucose does not do so the enzyme was purified from the growth medium after removal of the cells by continuous centrifugation by ammonium sulphate precipitation continuous filtration through xm membranes to remove the MW material which renders the enzyme sedimentable in lowionicstrength solutions diafiltration through pm CM and ionexchange chromatography on deaesephadex and cmsephadex two peaks of activity were obtained peak a was purified fold and was homogenous on polyacrylamide disc gel electrophoresis a second heterogeneous fraction peak b was also collected exobetanacetylmuramidase is most stable at ph and has a molecular weight of about the results of studies on its ability to attack several synthetic and NK substrates are given the km and v values for methylumbelliferylacetamidoodcarboxyethyldeoxybetadglucose and oacetamidoodcarboxyethyldeoxybetadglucopyranosyl leads to acetamidodeoxydglucose are respectively and mm and and mumol min mg from these results and those of inhibition studies it is concluded that the enzyme is TPS for substrates with nonreducing nacetylmuramic acid end CG possible roles for this enzyme are discussed
1305,psychomotor skills and visual functions related to driving were measured doubleblind crossover in ten healthy volunteers before and and h after a single oral administration of diazepam mg medazepam mg or lorazepam mg the late effects of lorazepam were tested in seven other subjects and h after the administration lorazepam impaired almost all the measured skills more p less than to than diazepam medizepam or the placebo the lorazepam impairment of reactive skills and flicker fusion discrimination remained statistically significant p less than for as long as h medazepam impaired only reactive skills and flicker fusion the latter remaining impaired p less than for as long a h after the administration the magnitude and duration of the effects of diazepam were intermediate between those of lorazepam and medazepam diazepam impaired perceptual speed and reactive and coordinative skills as well as flicker fusion discrimination and visual parameters related to driving slight impairments in performance were measurable for up to h T3 administration but at h the results resembled those measured after the placebo the lack of alterations in adaptation to darkness sensitivity to brightness or visual discrimination ability in bright counterlight at a time when flicker fusion discrimination was severely depressed suggests that an impaired ability to discriminate flickering CS is of no or little clinical significance to driving ability it is concluded that patients receiving a mg dose of lorazepam should not drive or operate machinery for h T3 the administration after diazepam mg or medazepam mg patients should refrain from driving or participating inskilled performances for only to hours
1306,the inactivation of the neurohypophyseal hormones arginine vasopressin and oxytocin both clabelled in the CT glycine residue by enzymes present in kidney homogenates of various species has been investigated and some of the enzymes responsible have been partially purified and characterized the leugly peptide bond of oxytocin is generally most effectively cleaved by kidney homogenates although with certain species enzymic activity hydrolyzing the proleu bond is significant degradation of Arg vasopressin is slower than oxytocin in all species studied and appears to occur by a different overall mechanism since cleavage of the proarg bond is more significant than hydrolysis of the arggly bond the enzyme releasing glycinamide from oxytocin and the postproline cleaving enzyme which releases cterminal dipeptide from oxytocin and arginine vasopressin were partially purified from lamb kidney by AS fractionation and column chromatography the two enzymes are shown to be separate entities with different ph profiles the prolyl peptidase activity released the CT dipeptides from oxytocin and arginine vasopressin at similar rates and was inhibited by pchloromercuriphenylsulfonic acid phenanthroline ltosylamidophenylethylchloromethyl ketone co ca and zn but significantly enhanced by dithiothreitol the prolyl peptidase preparation cleaves prolinecontaining peptide substrates at the prox bond the rate of cleavage is dependent on the nature of residue x and with the conditions used there is no cleavage when x equals pro however cleavage occurs when x is a d isomer mpr darg vasopressin is inactivated at a rate similar to mpr arg and mpr lys vasopressin suggesting that the known prolonged biological action of mpr darg vasopressin is not due to resistance to the prolyl peptidase in all characteristics tested the lamb kidney prolyl peptidase was identical to the postproline cleaving enzyme isolated earlier from human uterus in vivo experiments in the cat suggested that both the glycinamidereleasing enzyme and postproline cleaving enzyme are present and ERP in inactivating neurohypophyseal hormones in the intact animal
1307,the perturbational effects of monovalent and divalent cations on human EA membranes were analyzed by examining their influence on kinetic and structural characteristics of trinitrobenzenesulfonic acid tnbs incorporation into the amino groups of protein and phospholipid structural components the stimulatory effects of monovalent cations on tnbs incorporation which were sizeindependent and attributed to nonspecific membrane alterations resulting from ionic strength factors contrasted with the more pronounced stimulatory properties of divalent cations which were markedly sizedependent these stimulatory effects of cations on tnbs incorporation were associated with alterations not only in rate but also in activation energy in incorporation changes in activation energy produced by divalent cations paralleled their ability to perturb membrane protein components and probably reflected changes in probe permeation the rate of tnbs incorporation exhibited a dependence on divalent cation ionic radius which paralleled ioninduced perturbations in the labelling of the membrane amino phospholipid phosphatidylethanolamine divalent cations differed both in the relative extent and in the characteristics of protein and phospholipid perturbation alkaline earth cations behaved as a rather homogeneous group while ni co and mn constituted a second heterogeneous group the influence of monovalent and divalent cations on the hemolytic behavior of intact erythrocytes paralleled their effects on tnbs incorporation into isolated membranes rather closely it is suggested that tnbs incorporation may provide a valuable means of analyzing functionally relevant cationinduced alterations in biological membranes in GA
1308,the influence of temperature on glucose metabolism of a psychotrophic CS of bacillus cereus was investigated the ph of the GM and sporeforming frequencies of b cereus varied when grown at or c radiorespirometric analyses revealed that vegetative cells of b cereus metabolized glucose by simultaneous T0 of the embdenmeyerhofparnas pathway and the pentose phosphate pathway as the growth temperature decreased gl was metabolized with increased participation of the pentose phosphate pathway the shift of cells grown at a higher temperature to a lower temperature increased the relative participation of the PPP whereas the shift of cells grown at low temperatures to a higher temperature had the opposite effect cells of late logarithmic phase grown at and c oxidized acetate by the TCA cycle reaction however cells grown at c failed to oxidize acetate to co to any appreciable extent the extracellular products resulting from the metabolism of glucose decreased as the growth temperature was lowered organic acids were the major extracellular products of cultures grown at and c acetic acid lactic acid and pyruvic acid together accounted for and of extracellular radioactivity respectively at the two temperatures the relative ratio of these three acids varied between the temperatures little or no acid accumulated at c
1309,the effect of gradual disruption of the outer membrane of intact chloroplasts on co fixation electron transport and phosphorylation was investigated the results suggested that whilst ferricyanide and ATP amounts of adp enter intact chloroplasts only very slowly methyl viologen rapidly penetrates the outer membrane preparatwons of intact pea chloroplasts had an atpconsuming reaction which resulted in decreased adpo ratios when noncyclic electron transport was measured T3 disruption of the outer membrane the atpconsuming reaction was removed into the supernatant T3 washing the disrupted chloroplasts the resulting washed chloroplasts gave adpo ratios of for ferricyanide and for methyl viologen S9 of intact spinach chloroplasts had lower activity of the atpconsuming reaction and gave similar adpo ratios to washed pea chloroplasts the adpo ratios of spinach chloroplasts did not alter significantly T3 washing an investigation of the effect of various CA conditions on the adpo ratio showed that the phosphate concentration was critical in obtaining optimal values for adpo ratio decreasing the phosphate concentration below mm decreased the adpo ratio significantly it is suggested that the maximum adpo ratio of chloroplasts is but that lower values can be obtained in the presence of an atpconsuming reaction under suboptimal CA conditions or where the chloroplasts are structurally damaged
1310,the kinetics of the heterologous recombination reaction of alkylated h chains of a myeloma protein jo with alkylated l chains of another myeloma protein ita were studied by following changes with time in the circular dichroism at nm and the results were compared with those for the autologous recombination of joh chains with joh chains reported previously t azuma et al j biochem and the preceding paper the rat reaction also followed secondorder kinetics the secondorder rate constant kapp for rat recombination was about seven times smaller than that for autologous recombination at ph while they were similar between ph and the apparent association constants kapp for the reaction hlhl were determined by measuring the ellipticities at nm of mixtures of h and l chains in various ratios the values of kapp for the autologous and heterologous recombinations were both phdependent and changed from m at ph to m at ph using these values of kapp and kapp the halftime for the dissociation of autologous hl to h and l at ph was estimated to be hr
1311,cardiac SO was measured by a pulse contour method in renovascular hypertensive rats deoxycorticosterone doc hypertensive rats and normotensive control wistar rats in the conscious state all rats were male in sex and weeks of age weeks T3 operation in the hypertensive rats cardiac output per body weight was not significantly different among the groups therefore the hypertension in the experimentally hypertensive rats in the conscious state was ascribable to an increased total IP resistance T3 anesthesia with pentobarbital and thoracotomy the doc rats were no longer hypertensive however in the renovascular hypertensive rats the hypertensive state due to an increase in V1 resistance persisted T3 anesthesia thoracotomy and even ganglion blockade with hexamethonium bromide indicating the importance of nonneural factors in the renovascular hypertension aortic compliance measured in vivo under anesthesia was smaller in either the renovascular or doc hypertensive rats than in the control rats before and after ganglion blockade which suggests a nonneural hardening of elastic vessels in the exp hypertensions
1312,the two tripeptide antibiotics laminomethylphosphinobutyrylalanylalanylalanine lphosphinothricylalanylalanine and lnphosphonomethioninessulfoximinylalanylalanine both inhibitors of the glutamine synthetase are transported into the cell of escherichia coli k via the oligopeptide transport system the uptake by this system is proved first of all by crossresistance with trilornithine using oligopeptidetransportdeficient mutants and secondly by antagonism tests demonstrating competitive reversal of the action of the antibiotic by several peptides which have been shown to be transported via the Opp eg trilalanine tetralalanine trillysine trilserine triglycine glycylglycyllalanine and the synthetic tripeptide lazadenylaminohexanoylalanylalanine on the other hand there is no effect on the action of the antibiotic in antagonism tests with EDC which use different transport systems such as lalanylalanine llysyllysine glutathione and the synthetic amino acid azaadenylaminohexanoic acid ie aminoaminohvtriazolodpyrimidinylhexanoic acid another inhibitor of the glutamine synthetase lmethioninesdioxide methioninesulfone could be converted into a tripeptide form by linkage to lalanylalanine analogously to the tripeptide antibiotics described above whereas the free lmethioninesdioxide seems to be transported via the methionine transport system the tripeptide form is transported via the oligopeptide transport system thus this glutamine synthetase inhibitor can be taken up by the cell via two different transport mechanisms our results indicate that this could provide a synergistic effect the syntheses of the new tripeptides lazaadenylaminohexanoylalanylalanine and lmethioninesdioxidylalanylalanine were performed by dicyclohexylcarbodiimide couplings of the unusual nprotected lalphaamino acids azaadenylaminohexanoic acid and lmethioninesdioxide to lalanylalaninetertbutyl ester followed by common deprotection steps trilornithine was synthesized without carboxyl protection via two successive couplings of hydroxybenzotriazol esters of nalphabutoxycarbonylndeltabenzyloxycarbonyllornithine
1313,candida utilis was grown in batch and continuous culture on prickly pear juice as sole carbon and SE source in batch SC the maximum TPS growth rate mum and the ATP yield coefficient yps varied according to sugar concentration when the fermentation was carried out with sugar mum and ys were h and respectively the best yields occurred in a chemostat at the ph range of to and temperature of c a beneficial effect on ys was observed when the dilution rate d was increased at a d of h the productivity was gliter per h the maintenance coefficient attained a value of g of sugarg of biomass per h increases of d produced higher protein contents of the biomass the information obtained indicates that protein production with candida utilis using prickly pear juice should be carried out a high dilution rates where the ys and protein content of the cell mass are also higher
1314,an extracecular alphaglucosidase alphadglucoside glycohydrolase ec of a thermophile bacillus thermoglucosidius kp was purified about fold the purified enzyme had a TPS activity of mumol of pnitrophenylalphadglucopyranoside hydrolyzed per min at degrees c and ph per mg of protein the molecular weight was estimated at the ph and temperature optima for activity were and degrees c respectively below degrees c the activity was less than of the optimym the enzyme showed a high specificity for alphadglucopyranoside the maximal hydrolyzing velocity per substrate diminished in the order phenylalphadglucopyranoside pnitrophenylalphadglucopyranoside isomaltose methylalphaglycopyranoside the respective km values were and mm the activity was trace for turanose and not detectable for sucrose trehalose raffinose melezitose maltose maltotriose phenylalphadmaltoside dextran dextrin and starch tris pnitrophenylalphadxylopyranoside glucose and gluconodeltalactone blocked competitively the enzyme with respect to pnitrophenylalphadglucopyranoside the ki values were and mm respectively the activity was affected by heavy metal ions but insensitive to edta pchloromercuribenzoate and iodoacetate the enzyme was SD up to degrees c and inactivated rapidly at temperatures beyond degrees c the ph range for stability was at degrees c and at degrees c at degrees c the enzyme failed to be inactivated in ethanol in m urea and in sodium dodecyl sulfate but the tolerance was extremely reduced at degrees c
1315,the purple membrane of halobacterium halobium acts as a lightdriven proton pump ejecting protons from the cell interior into the medium and generating electrochemical proton gradient across the cell membrane however the type response of cells to CS as measured with a ph electrode in the medium consists of an initial net inflow of protons which subsides and is then replaced by a net outflow which exponentially approaches a new lower steady state ph level when the CS turned off a small transient acidification occurs before the ph returns to the original dark level we present experiments suggesting that the initial inflow of protons is triggered by the beginning ejection of protons through the purple membrane and that the initial inflow rate is larger than the continuing lightdriven outflow when the initial inflow has decreased exponentially to a small value the outflow dominates and causes the net acidification of the medium the initial inflow is apparently driven by a preexisting EC gradient across the membrane which the cells can maintain for extended times in the absence of light and oxygen treatments which collapse this gradient such as addition of small concentrations of uncouplers abolish the initial inflow the triggered inflow occurs through the atpase and is accompanied by atp synthesis inhibitors of the atpase such as nndicyclohexylcarbodiimide dccd inhibit atp synthesis and abolish the inflow they also abolish the transient lightoff acidification which is apparently caused by a short burst of atp hydrolysis before the enzyme is blocked by its endogenous inhibitor similar transient inflows and outflows of protons are also observed when anaerobic cells are exposed to short oxygen pulses
1316,visual photoreceptors from both vertebrates and invertebrates are characterized by extensive elaboration of membrane which contains visual pigment rhodopsin visual pigments in all phyla examined are chemically similar the chromophore is cis retinaldehyde attached by an aldimine linkage schiff base to a membrane protein opsin the effect of CS is to isomerize the chromophore to the alltrans configuration beyond these fundamental similarities several specific areas are discussed in which variations and differences appear CS causes vertebrate visual pigments to bleach liberating the chromophore most invertebrate visual pigments do not bleach in the CS but instead form a thermally stable metarhodopsin with the chromophore in the alltrans configuration still attached to the opsin in the disk CM of vertebrate rod and cone outer segments the rhodopsin molecules are oriented with their chromophores nearly coplanar with the disks within this plane however both rotational and translational diffusion are possible in the microvillar membranes of arthropod and cephalopod rhabdoms on the other hand the situation is less clear there is evidence for some preferential orientation of chromophores that implies restrictions on brownian rotation in the outer segments of vertebrate receptors absorption of light by rhodopsin causes the plasma membrane to hyperpolarize due to a decrease in sodium conductance possibly mediated by calcium ions in most invertebrate photoreceptors light causes a depolarization due to an increase in conductance principally to sodium ions a subsequent entry of calcium causes a partial repolarization of the membrane due to a decrease in sodium conductance for vertebrate receptors log threshold is directly proportional to the fraction of rhodopsin bleached dowlingrushton relationship the proportionality constant varies in different S9 from less than four to more than and the physical basis for the relationship is unknown for invertebrates by contrast the dependence of sensitivity on rhodopsin concentration is much less dramatic and may well depend simply on the probability of quantum catch in most species vertebrate and invertebrate the accumulation of photoproduct probably has no effect on Gm but several possible exceptions exist photoregeneration of rhodopsin from metarhodopsin is likely an important mechanism of recovery in certain arthropods such as diurnal insects but dark mechanisms of recovery also exist in all phyla in no single case are they adequately understood
1317,an aminopeptidase alphaaminoacyl lpeptide hydrolase ec was purified to homogeneity from autolysates of brewers yeast the enzyme which is responsible for most of the yeast cells aminopeptidase activity is a glycoprotein containing about of conjugated carbohydrate and zn and having a complex quaternary structure the active species has a molecular weight of approx and an isoelectric point of the enzyme is remarkably stable even in dilute solutions all types of lamino acid and peptide derivatives containing a free amino terminus are attacked including CAA amides and esters as to its substrate specificity the enzyme belongs to the so called leucineaminopeptidases it is strongly and specifically activated by zn and cl or br and inactivated by metalchelating agents the activation by zn seems to be mediated by a conformational transition which affects exclusively v and leads to a form of the enzyme which enhanced stability against heat halide anions on the other hand are acting as positive allosteric effectors modulating both v and km
1318,caesarean sections and hysterectomies were carried out in gilts and sows with different body weight table i the neuroleptic azaperone and the hypnotic metomidate were used for anaesthesia with different administration table ii local analgesia and premedication with atropine the duration of the anaesthesia was minutes and where prolongation was necessary metomidate azaperone or barbiturates were used alone or in combinations once or more the indications table iii for caesarean section were retarded birth in sows dislocation of uterus in sows and in sows by other indications hysterectomy was indicated by retarded birth in sows dislocations of uterus in cases and in cases by other indications in operations table iv living piglets were delivered and were alive at discharge the chances of survival depends on the composition of the litter in litters of piglets alive only survived at discharge in litters consisting of both alive and stillborn survived and survived in litters consisting of piglets alive and post mortem piglets the total survival of the sows was T3 caesarean section and after hysterectomy it is pointed out that most of the patients operated were in a very late phase of birth
