,files
511,particular material footprint fossil fuel time higher developed developing country decoupling economic growth resource critical complex challenge facing humanity today effectively require policy create conducive environment change social physical infrastructure market profound transformation business practice global value chain material footprint developing country grew metric metric representing significant improvement material standard living increase attributed rise metallic mineral pointing growth area infrastructure construction type material developed country double footprint developing country
512,country national policy initiative relevant sustainable consumption production according recent report kpmg world largest company term revenue reporting sustainability quarter company country worldwide material consumption expanded rapidly material footprint seriously jeopardizing achievement sustainable development goal goal broadly urgent action needed ensure current material need lead overextraction resource degradation environmental resource include policy improve resource efficiency reduce waste mainstream sustainability practice sector economy worldwide material consumption reached increase rate extraction accelerating
513,urgent concerted political action projected global resource extraction grow material footprint considerably natural resource satisfy need resource extracted designed national policy framework instrument necessary enable fundamental shift sustainable consumption production pattern country european union reported policy instrument montreal protocol basel rotterdam convention required transmit information implementation obligation agreement rate transmission varies compliance rate agreement approximately
514,pandemic offer country opportunity build recovery plan reverse current trend change consumption production pattern sustainable future country european union reported national policy instrument contributed sustainable consumption production effort implementation framework programme sustainable consumption production pattern global domestic material consumption rose metric metric increase region northern america africa domestic material consumption europe northern america higher global indicating need enhance resource efficiency practice reduce consumption future global material footprint rose
515,metric increase increase world reliance natural resource continued accelerate past decade montreal protocol substance deplete ozone layer universally ratified result implementation overall abundance ozone depleting substance atmosphere decreased past decade projection return value northern hemisphere latitude ozone global waste generation grew continuously environmentally sound recycling waste slower pace global fossil fuel subsidy amounted
516,decade scientist explaining humanity driving planetary crisis climate biodiversity pollution linked unsustainable production consumption change consumption production pattern help promote decoupling economic growth human resource environmental impact trigger transformation envisaged global commitment biodiversity climate sustainable development general covid pandemic provides window opportunity exploring inclusive equitable development model underpinned sustainable consumption production country territory european union shared information contribution implementation framework programme sustainable consumption production pattern policy implementation activity reported bringing number
517,indicate rise global material footprint metric metric similarly domestic material consumption metric metric limited available food produced globally lost reaching retail sector estimate vary region central southern asia australia zealand waste generated documented environmentally sustainable manner waste generation expected grow annually reach
518,need increase tenfold waste recycled pilot review conducted random sample company united global compact database sustainability disclosure database global reporting initiative indicates company reported requirement sustainability issue advanced requirement issue december country territory reported sustainable public procurement policy action plan equivalent legal disposition aimed encouraging procurement environmentally sound energy efficient product promoting socially responsible purchasing practice sustainable supply chain fossil fuel subsidy declined result fuel price reversing upward trend fossil fuel subsidy expected fall sharply owing collapse demand caused covid mitigation effort price shock experienced
519,according recent report kpmg world largest company term revenue reporting sustainability quarter company country implement framework programme sustainable consumption production country taking action developed country taking lead taking account development capability developing country achieve sustainable management efficient natural resource halve global food waste retail consumer level reduce food loss production supply chain including post harvest loss achieve environmentally sound management chemical waste life cycle accordance agreed international framework significantly reduce release water soil order minimize adverse impact human health environment substantially reduce waste generation prevention reduction recycling reuse encourage company especially large transnational company adopt sustainable practice integrate sustainability information reporting cycle
520,ensure relevant information awareness sustainable development lifestyle harmony nature support developing country strengthen scientific technological capacity sustainable pattern consumption production develop implement tool monitor sustainable development impact sustainable tourism creates promotes local culture product rationalize inefficient fossil fuel subsidy encourage wasteful consumption removing market distortion accordance national circumstance including restructuring taxation phasing harmful subsidy exist reflect environmental impact taking fully account specific need condition developing country minimizing possible adverse impact development manner protects poor affected community
521,goal urgent action combat climate change impact climate change affecting country continent disrupting national economy affecting life costing community country dearly today tomorrow weather pattern changing level rising weather event extreme greenhouse emission highest level history action world surface temperature surpass degree centigrade century poorest vulnerable affected affordable scalable solution available enable country leapfrog cleaner resilient economy pace change quickening turning renewable energy range measure reduce emission increase adaptation effort
522,issue requires solution need coordinated international level help developing country carbon economy strengthen global response threat climate change country adopted paris agreement paris went force november agreement country agreed work limit global temperature rise degree centigrade ratified paris agreement developing country submitted iteration national adaptation plan responding climate change limiting global warming require rapid reaching unprecedented change aspect society panel climate change ipcc said assessment clear benefit natural ecosystem limiting global warming
523,ratified paris agreement nationally contribution framework convention climate change secretariat developing country successfully completed submitted iteration national adaptation plan responding climate change developed country continue progress goal jointly mobilizing annually mitigation action thanks panel climate change know global temperature perspective degree temperature increase grain yield decline maize wheat major crop experienced significant yield reduction global level megaton warmer climate
524,global level rose ocean expanded warming melted arctic extent shrunk successive decade loss decade given current concentration going emission greenhouse century increase global temperature exceed compared scenario world ocean warm melt continue level rise predicted aspect climate change persist century emission stopped global emission carbon dioxide emission grew quickly previous decade
525,major institutional technological change better chance global warming exceed threshold strengthen resilience adaptive capacity climate related hazard natural disaster country integrate climate change measure national policy strategy planning improve education awareness raising human institutional capacity climate change mitigation adaptation impact reduction early warning implement commitment undertaken developed country united framework convention climate change goal mobilizing jointly annually source address need developing country context meaningful mitigation action transparency implementation fully operationalize green climate fund capitalization soon possible promote mechanism raising capacity effective climate change related planning management developed country island developing state including focusing woman youth local marginalized community
526,limit global warming global carbon emission need fall staggering level whats goal taking urgent action tackle climate change impact greenhouse level continue climb climate change occurring higher rate anticipated effect evident worldwide addressing climate change build sustainable world need life affected climate change severe weather rising level affecting property developed developing country farmer philippine businessman london climate change affecting especially poor vulnerable marginalized group like woman child elderly
527,seeing climate change exacerbate storm disaster threat food water scarcity lead conflict costing action opportunity action lead great prosperity better life reducing greenhouse emission building climate resilience solve problem late address climate change vastly increase effort happening world investment renewable energy soared need world transform energy industry transport food agriculture forestry ensure limit global temperature rise maybe
528,december world took significant step adopting paris agreement country committed action address climate change business investor committing emission right thing economic business sense cost solve problem public private sector investment clean energy need reach trillion build climate resilience sound like consider trillion invested global energy supply nearly related fossil fuel government business finding investment renewable energy sustainability paying
529,include cleaner greater food security liveable city better health investment disaster risk reduction result benefit term avoided loss lifetime investment rising greenhouse emission climate change occurring rate faster anticipated effect clearly felt worldwide positive step term climate finance flow development nationally contribution ambitious plan accelerated action needed mitigation adaptation access finance strengthened capacity need scaled faster rate particularly developed country island developing state increasing greenhouse emission driving climate change
530,industrial level moving emission objective compatible pathway requires peak achieved soon possible followed rapid reduction indicated sustainable development goal para period direct economic loss disaster estimated trillion climate related geophysical disaster claimed estimated life ratified paris agreement paris agreement expected prepare communicate maintain successive nationally contribution nationally contribution secretariat united framework convention climate change second
531,global climate finance flow period compared period country accessed green climate fund grant financing formulation national adaptation plan adaptation planning process value developed country island developing state african state proposal additional seven country value stage approval country seeking support green climate fund national adaptation plan adaptation planning process combined value warmest record degree celsius industrial period analysis world meteorological organization global temperature highest record
532,urgent accelerated action country implement commitment paris agreement climate change ratified paris agreement country plus european commission nationally contribution united framework convention climate change secretariat addition developing country successfully completed submitted iteration national adaptation plan responding climate change developed country continue progress goal jointly mobilizing annually address need developing country context meaningful mitigation action planetary warming continued setting record degree centigrade preindustrial period according world meteorological organization statement state global climate
533,second lowest extent record atmospheric carbon dioxide level reached record mitigating climate change impact require building momentum achieved paris agreement climate change entered force november stronger effort needed build resilience limit climate related hazard natural disaster paris agreement expected prepare communicate maintain successive nationally contribution nationally contribution reflect official country response climate change contribution global climate action ratified paris agreement country european commission nationally contribution secretariat united framework convention climate change
534,developed country committed jointly mobilizing address climate related need developing country continue level support initial effort mobilize resource green climate fund raised developed country strongly urged scale financial support number death attributed natural disaster continues rise despite progress implementing disaster risk reduction strategy died internationally reported natural disaster country begun implementing national local disaster risk reduction strategy reporting country indicated environmental impact assessment legislation protected area climate change adaptation project programme integrated planning played major role reducing underlying risk factor
535,urgent action combat climate change minimize disruption integral successful implementation sustainable development goal global nature climate change broad international cooperation building resilience adaptive capacity adverse effect developing sustainable carbon pathway future accelerating reduction global greenhouse emission member state signed paris agreement united framework convention climate change agreement reduce pace climate change accelerate intensify action investment needed sustainable carbon future climate change exacerbates disaster died internationally reported disaster annual death trending upwards result country acting imperative implement national local disaster risk reduction strategy
536,united framework convention climate change responsible providing range national report effort implement agreement intended nationally contribution framework convention european commission submitted joint intended contribution recorded secretariat framework convention providing insight effort country taking integrate climate change measure national policy strategy planning country included adaptation component intended nationally contribution country stressed adaptation main climate change priority strong linkage aspect national development sustainability security order help country forward climate action global stocktaking established context paris agreement collective progress
537,scale climate change action enhanced cooperation capacity building access financial technical support needed help country realize priority including identified intended nationally contribution national adaptation plan developed country committed mobilizing climate financing wide variety source help address need developing country united framework convention climate change collective goal green climate fund mechanism framework convention created assist developing country adaptation mitigation practice important delivery vehicle financing green climate fund mobilized
538,climate change affecting vulnerable country population particular developed country island developing state preparation national adaptation programme action united framework convention climate change helping developed country address urgent immediate need support developed country fund developed country expert group addition implementation national adaptation programme action help developed country prepare seek funding comprehensive national adaptation plan reducing risk left strengthen resilience adaptive capacity climate related hazard natural disaster country proportion local government adopt implement local disaster risk reduction strategy national disaster risk reduction strategy
539,number country national local disaster risk reduction strategy integrate climate change measure national policy strategy planning number country establishment integrated policy strategy plan increase ability adapt adverse impact climate change foster climate resilience greenhouse emission development manner threaten food production including national adaptation plan nationally contribution national communication biennial update report improve education awareness raising human institutional capacity climate change mitigation adaptation impact reduction early warning number country integrated mitigation adaptation impact reduction early warning primary secondary tertiary curriculum number country strengthening institutional systemic individual capacity building implement adaptation mitigation technology transfer development action
540,mobilized united state dollar starting accountable commitment promote mechanism raising capacity effective climate change related planning management developed country island developing state including focusing woman youth local marginalized community number developed country island developing state receiving specialized support support including finance technology capacity building mechanism raising capacity effective climate change related planning management including focusing woman youth local marginalized community urgent action combat climate change impact regulating emission promoting development renewable energy discussion negotiation identified link post process financing development process concluded addis ababa july climate change conference paris december
541,report state tackling climate change possible sdgs economic development climate change inextricably linked particularly poverty gender equality energy encourages public sector initiative effort minimize negative impact environment renewed emphasis climate change mitigation possible partial sino american convergence developed notably summit paris ensuing conference hangzhou press briefing global alliance gceoa chairman james donovan described asia pacific region region particularly vulnerable effect climate change needing public private partnership successfully implement sustainable development initiative international panel climate change ipcc united body assessing science related climate change published special report global warming
542,outlined impact global temperature rise industrial level related global greenhouse emission pathway highlighted possibility avoiding number impact limiting global warming compared report mentioned require global human caused emission carbon dioxide fall level reaching zero rapid reaching transition land energy industry building transport city special report subsequently discussed despite requested country report accepted country saudi arabia russia kuwait wanted note postponing resolution sbsta session
543,effect visible catastrophic education innovation adherence climate commitment necessary change protect planet change provide huge opportunity modernize infrastructure create promote greater prosperity globe climate change present single biggest threat development widespread unprecedented impact burden poorest vulnerable urgent action combat climate change minimize disruption integral successful implementation sustainable development goal global nature climate change broad international cooperation building resilience adaptive capacity adverse effect developing sustainable carbon pathway future accelerating reduction global greenhouse emission
544,agreement reduce pace climate change accelerate intensify action investment needed sustainable carbon future climate change exacerbates disaster died internationally reported disaster annual death trending upwards result country acting imperative implement national local disaster risk reduction strategy country legislative regulatory provision place managing disaster risk united framework convention climate change responsible providing range national report effort implement agreement intended nationally contribution framework convention european commission submitted joint intended contribution recorded secretariat framework convention providing insight effort country taking integrate climate change measure national policy strategy planning
545,country stressed adaptation main climate change priority strong linkage aspect national development sustainability security order help country forward climate action global stocktaking established context paris agreement collective progress process begin facilitative dialogue review effort emission reduction inform preparation nationally contribution scale climate change action enhanced cooperation capacity building access financial technical support needed help country realize priority including identified intended nationally contribution national adaptation plan developed country committed mobilizing climate financing wide variety source help address need developing country
546,green climate fund mechanism framework convention created assist developing country adaptation mitigation practice important delivery vehicle financing green climate fund mobilized climate change affecting vulnerable country population particular developed country island developing state planetary warming continued setting record degree centigrade preindustrial period according world meteorological organization statement state global climate drought condition predominated globe aggravated phenomenon statement noted extent global fell second lowest extent record
547,mitigating climate change impact require building momentum achieved paris agreement climate change entered force november stronger effort needed build resilience limit climate related hazard natural disaster paris agreement expected prepare communicate maintain successive nationally contribution nationally contribution reflect official country response climate change contribution global climate action ratified paris agreement country european commission nationally contribution secretariat united framework convention climate change seven developing country successfully completed submitted iteration national adaptation plan response climate change
548,initial effort mobilize resource green climate fund raised developed country strongly urged scale financial support warmest record degree celsius industrial period analysis world meteorological organization global temperature highest record world continues experience rising level extreme weather condition north atlantic hurricane season costliest recorded increasing concentration greenhouse urgent accelerated action country implement commitment paris agreement climate change ratified paris agreement country plus european commission nationally contribution united framework convention climate change secretariat
549,developed country continue progress goal jointly mobilizing annually address need developing country context meaningful mitigation action number death attributed natural disaster continues rise despite progress implementing disaster risk reduction strategy died internationally reported natural disaster country begun implementing national local disaster risk reduction strategy reporting country indicated environmental impact assessment legislation protected area climate change adaptation project programme integrated planning played major role reducing underlying risk factor rising greenhouse emission climate change occurring rate faster anticipated effect clearly felt worldwide positive step term climate finance flow development nationally contribution ambitious plan accelerated action needed mitigation adaptation
550,increasing greenhouse emission driving climate change greenhouse concentration reached globally averaged mole fraction industrial level moving emission objective compatible pathway requires peak achieved soon possible followed rapid reduction indicated sustainable development goal para period direct economic loss disaster estimated trillion climate related geophysical disaster claimed estimated life ratified paris agreement paris agreement expected prepare communicate maintain successive nationally contribution nationally contribution secretariat united framework convention climate change second
551,global climate finance flow period compared period second warmest record warmest decade addition global temperature estimated industrial level global community track meet target called paris agreement greenhouse emission projected drop quality improved result travel economic slowdown resulting pandemic improvement temporary government business utilize lesson learned accelerate transition needed achieve paris agreement redefine relationship environment systemic shift change greenhouse emission climate resilient economy society
552,country reported local government local disaster risk reduction strategy aimed contributing sustainable development strengthening socioeconomic health environmental resilience focusing poverty eradication urban resilience climate change adaptation preparation national adaptation programme action united framework convention climate change helping developed country address urgent immediate need support developed country fund developed country expert group addition implementation national adaptation programme action help developed country prepare seek funding comprehensive national adaptation plan reducing risk left march country plus european union nationally contribution second updated nationally contribution united framework convention climate change
553,developing country undertaken activity formulate implement national adaptation plan increase country compared plan help country achieve global goal adaptation paris agreement regard global climate finance increase level private investment renewable energy account spurt growth represent largest segment global financial flow considerable relatively relation scale annual investment needed carbon climate resilient transition investment climate activity tracked sector surpassed related fossil fuel energy sector
554,developed country island developing state african state atmospheric concentration major greenhouse continued increase despite temporary reduction emission related measure taken response covid pandemic warmest record climate change making achievement goal limit global warming industrial level accordance paris agreement world need achieve zero carbon dioxide emission country territory reported development adoption national local disaster risk reduction strategy increase country territory sendai framework
555,country territory developed country island developing state second updated nationally contribution country territory included adaptation information updated contribution nationally contribution demonstrate country territory articulating quantified target indicator adaptation identifying link adaptation goal framework march developing country carrying measure national adaptation plan prioritizing formulation implementation plan adaptation effort developed country including island developing state island developing state completed national adaptation plan developed country draft national adaptation plan track complete submit view ensuring developed country national adaptation plan
556,industrial level emission developed country approximately emission developing country rose climate finance reported state included annex framework convention climate change continues increase reaching annual period represents increase compared period climatespecific financial support targeted mitigation action adaptation support growing country territory prioritizing adaptation financial support provision proposal additional seven country value stage approval country seeking support green climate fund national adaptation plan adaptation planning process combined value
557,improve education awareness raising human institutional capacity climate change mitigation adaptation impact reduction early warning implement commitment undertaken developed country united framework convention climate change goal mobilizing jointly annually source address need developing country context meaningful mitigation action transparency implementation fully operationalize green climate fund capitalization soon possible promote mechanism raising capacity effective climate change related planning management developed country island developing state including focusing woman youth local marginalized community prevent significantly reduce marine pollution kind particular land based activity including marine debris nutrient pollution
558,minimize address impact ocean acidification including enhanced scientific cooperation level effectively regulate harvesting overfishing illegal unreported unregulated fishing destructive fishing practice implement science based management plan order restore fish stock shortest time feasible level produce maximum sustainable yield biological characteristic conserve coastal marine area consistent national international based best available scientific information
559,goal conserve sustainably ocean marine resource world ocean temperature chemistry current life drive global earth habitable humankind rainwater drinking water weather climate coastline food oxygen breathe ultimately provided regulated history ocean vital conduit trade transportation careful management essential global resource feature sustainable future current time continuous deterioration coastal water owing pollution ocean acidification having adversarial effect functioning ecosystem biodiversity negatively impacting scale fishery
560,ocean cover quarter earth surface contain earth water represent living space planet volume depend marine coastal biodiversity livelihood globally market value marine coastal resource industry estimated trillion global ocean contain nearly identified specie actual number ocean absorb carbon dioxide produced human buffering impact global warming ocean serve world largest source protein depending ocean primary source protein marine fishery directly indirectly employ
561,open ocean site current level acidity start industrial revolution coastal water deteriorating pollution eutrophication concerted effort coastal eutrophication expected increase percent large marine ecosystem prevent significantly reduce marine pollution kind particular land based activity including marine debris nutrient pollution sustainably manage protect marine coastal ecosystem avoid significant adverse impact including strengthening resilience action restoration order achieve healthy productive ocean minimize address impact ocean acidification including enhanced scientific cooperation level effectively regulate harvesting overfishing illegal unreported unregulated fishing destructive fishing practice implement science based management plan order restore fish stock shortest time feasible level produce maximum sustainable yield biological characteristic
562,prohibit certain fishery subsidy contribute overcapacity overfishing eliminate subsidy contribute illegal unreported unregulated fishing refrain introducing subsidy recognizing appropriate effective special differential treatment developing developed country integral world trade organization fishery subsidy negotiation increase economic benefit island developing state developed country sustainable marine resource including sustainable management fishery aquaculture tourism increase scientific knowledge develop research capacity transfer marine technology taking account oceanographic commission criterion guideline transfer marine technology order improve ocean health enhance contribution marine biodiversity development developing country particular island developing state developed country
563,enhance conservation sustainable ocean resource implementing international reflected unclos provides legal framework conservation sustainable ocean resource recalled paragraph future want life water matter depend marine coastal biodiversity livelihood whats goal conserve sustainably world ocean marine resource ocean provide natural resource including food medicine biofuels product help breakdown removal waste pollution coastal ecosystem buffer reduce damage storm maintaining healthy ocean support climate change mitigation adaptation effort seaside great place tourism recreation
564,help improve gender equality woman work scale fishery marine environment home stunning variety beautiful creature ranging single celled organism biggest animal lived earththe blue whale home coral reef diverse ecosystem planet sound like worthwhile thing protect whats problem increasing level debris world ocean having major environmental economic impact marine debris impact biodiversity entanglement ingestion debris item organism kill impossible reproduce world coral reef concerned effectively destroyed prospect recovery
565,furthermore improper marine management result overfishing lost economic benefit fishery sector estimated annually environment programme estimate cumulative economic impact poor ocean management practice absence mitigation measure climate change increase cost damage ocean additional cost correct cost taking action largely offset long term gain economic term convention biological diversity suggests scaled action sustain global ocean require time public cost dollar recurring cost open ocean deep area sustainability achieved international cooperation protect vulnerable habitat
566,local level ocean friendly choice buying product eating food derived ocean consume need selecting certified product good place start making change daily life like taking public transport unplugging electronics save energy action reduce carbon footprint factor contributes rising level eliminate plastic usage possible organize beach clean importantly spread message important marine life need protect expansion protected area marine biodiversity existing policy treaty encourage responsible ocean resource insufficient combat adverse effect overfishing growing ocean acidification climate change worsening coastal eutrophication
567,ocean acidification caused uptake atmospheric ocean change chemical composition seawater long term observation ocean acidification past shown increase acidity industrial time rate increase predicted century consequence marine life achieve sustainable development fishery fish stock maintained biologically sustainable level analysis reveal fraction world marine fish stock biologically sustainable level declined december water national jurisdiction nautical mile national border covered protected area significant increase double extent covered
568,illegal unreported unregulated fishing remains greatest threat sustainable fishery livelihood depend marine ecosystem framework international instrument developed address different aspect fishery management country taken measure combat fishing adopted increasing number fishery management instrument past decade example agreement port state measure prevent deter eliminate illegal unreported unregulated fishing international binding agreement combat fishing entered force june number agreement rapidly stood february scale fishery present country accounting production term quantity value
569,country level implementation framework particularly oceania central south asia advancing sustainable conservation ocean continues require effective strategy management combat adverse effect overfishing growing ocean acidification worsening coastal eutrophication expansion protected area marine biodiversity intensification research capacity increase ocean science funding remain critically important preserve marine resource global marine fish stock biologically sustainable level declined study open ocean coastal site world current level marine acidity start industrial revolution
570,global trend point continued deterioration coastal water pollution eutrophication concerted effort coastal eutrophication expected increase large marine ecosystem january square kilometre marine water national nautical mile shorewere covered protected area double coverage level mean coverage marine biodiversity area kbas protected increasedfrom goal conserve sustainably ocean marine resource sustainable development increasingly adverse impact climate change including ocean acidification overfishing marine pollution jeopardizing recent gain protecting portion world ocean global trend point continued deterioration coastal water owing pollution eutrophication excessive nutrient water frequently result land cause dense plant growth death animal life lack oxygen
571,located mainly western europe southern eastern asia gulf mexico ocean acidification closely linked shift carbonate chemistry water lead significant weakening shell skeleton marine specie reef building coral shelled mollusc study marine acidity open ocean coastal site world indicated current level outside preindustrial bound overfishing reduces food production impairs functioning ecosystem reduces biodiversity proportion world marine fish stock biologically sustainable level declined trend slowed appears stabilized scale fishery face numerous challenge response respondent survey representing country european union introduced developed regulation policy plan strategy specifically targeting scale fishery
572,protected area cover marine environment national jurisdiction nautical mile shore marine environment national jurisdiction global ocean area ocean coastal marine resource play essential role human social economic development worldwide particularly crucial living coastal community represented global population ocean provide livelihood tourism benefit subsistence income help regulate global ecosystem absorbing heat carbon dioxide atmosphere protecting coastal area flooding erosion fact coastal marine resource contribute estimated trillion global economy ecosystem service
573,sustainable preservation marine coastal ecosystem biological diversity essential achieving agenda particular island developing state pollution land threat coastal region addition river marine ecosystem atmosphere hydrological effect pollution felt source coastal community pollution eutrophication presence excessive nutrient water frequently owing runoff land causing dense plant growth death animal life driving detrimental change large marine ecosystem risk coastal eutrophication according global comparative assessment undertaken transboundary water assessment programme bengal east china gulf mexico north brazil shelf south china
574,come steep ecological price dissolved carbon dioxide seawater level ocean increasing acidity changing biogeochemical carbonate balance concern ocean acidification expressed early confirmed extent impact marine ecosystem investigated fishery contribute significantly global food security livelihood economy sustainably fishing damage fish habitat ultimately overfishing impairs functioning ecosystem reduces biodiversity negative repercussion sustainable social economic development order achieve healthy balance fish stock maintained biologically sustainable limit abundance level produce maximum sustainable yield based analysis assessed stock percentage world marine fish stock biologically sustainable level declined
575,biodiverse marine site require safeguarding ensure sustainable long term precious natural resource globally marine environment national jurisdiction nautical mile shore marine environment national jurisdiction protection marine site world designated biodiversity area completely covered protected area prevent significantly reduce marine pollution kind particular land based activity including marine debris nutrient pollution coastal eutrophication floating plastic debris density sustainably manage protect marine coastal ecosystem avoid significant adverse impact including strengthening resilience action restoration order achieve healthy productive ocean
576,minimize address impact ocean acidification including enhanced scientific cooperation level marine acidity measured agreed suite representative sampling station effectively regulate harvesting overfishing illegal unreported unregulated fishing destructive fishing practice implement science based management plan order restore fish stock shortest time feasible level produce maximum sustainable yield biological characteristic proportion fish stock biologically sustainable level conserve coastal marine area consistent national international based best available scientific information coverage protected area relation marine area prohibit certain fishery subsidy contribute overcapacity overfishing eliminate subsidy contribute illegal unreported unregulated fishing refrain introducing subsidy recognizing appropriate effective special differential treatment developing developed country integral world trade organization fishery subsidy negotiation
577,increase economic benefit island developing state developed country sustainable marine resource including sustainable management fishery aquaculture tourism sustainable fishery percentage island developing state developed country country increase scientific knowledge develop research capacity transfer marine technology taking account oceanographic commission criterion guideline transfer marine technology order improve ocean health enhance contribution marine biodiversity development developing country particular island developing state developed country proportion research budget allocated research field marine technology provide access scale artisanal fisher marine resource market
578,enhance conservation sustainable ocean resource implementing international reflected unclos provides legal framework conservation sustainable ocean resource recalled paragraph future want number country making progress ratifying accepting implementing legal policy institutional framework ocean related instrument implement international reflected united convention conservation sustainable ocean resource conserve sustainably ocean marine resource sustainable development sustainable development goal conserve sustainably ocean marine resource sustainable development effective strategy mitigate adverse effect ocean acidification needed advance sustainable ocean
579,deterioration coastal water global occurrence pollution coastal eutrophication overflow nutrient water similar contributing factor climate change affect ocean negatively impact marine biodiversity concerted effort coastal eutrophication expected increase large marine ecosystem preparatory meeting ocean conference convened york february discus implementation sustainable development goal international reflected convention unclos stressed need include governance instrument consider anthropogenic activity taking place outside ocean concern ocean health destructive fishing practice marine pollution discussed looking role local community island developing state sids developed country ldcs forget ocean large economy
580,target increase scientific knowledge ocean participating united legislative body come discus issue marine environment united ocean conference important consider implemented different multilateral environmental agreement respectively climate biodiversity land degradation major issue surrounding deterioration marine environment ocean important know convention implement ocean cover percent earth surface essential making planet livable rainwater drinking water climate regulated ocean temperature current depend marine life livelihood ocean absorb percent carbon dioxide produced human
581,ocean world largest source protein percent increase acidification industrial revolution percent marine habitat destroyed percent world fish stock exploited marine pollution reached shocking level minute plastic released ocean percent coral reef destroyed irreversibly percent immediate risk collapse approximately bird marine mammal unknown number fish harmed annually marine pollution caused human percent fulmar norway plastic microplastics marine pollution individual help ocean reducing energy consumption plastic
582,norway instance citizen working page called finn earn money picking plastic beach country including kenya tanzania banned plastic retail purchase improving ocean contributes poverty reduction income family source income healthy food keeping beach ocean water clean developed country attract tourism stated goal reduce poverty providing employment characterized extinction invasion hybridization reduction abundance specie marine biodiversity currently global decline past decade exponential increase human activates near ocean resulting negative consequence marine environment
